team,ppg,oppg,rzp,orzp,spg,ospg,atop,fgp
Arizona,19.4,26.8,62.79%,60.56%,1.9,2.5,29:17:00,84.85%
Atlanta,18.9,21.9,46.81%,45.28%,2.5,2.4,29:09:00,86.49%
Baltimore,27.7,16.2,62.16%,42.31%,3.3,2.5,30:55:00,87.50%
Buffalo,26.6,18.7,63.89%,55.36%,2.9,1.4,32:05:00,76.47%
Carolina,13.9,24.5,50.00%,63.16%,1.6,3.8,31:06:00,83.33%
Chicago,21.2,22.3,57.14%,68.89%,1.8,2.9,31:57:00,92.11%
Cincinnati,21.5,22.6,59.62%,51.67%,2.6,2.9,30:28:00,83.87%
Cleveland,22.8,22.6,57.69%,71.11%,2.7,2.7,32:29:00,91.89%
Dallas,30.1,20.2,57.89%,59.62%,2.6,2.4,31:45:00,94.87%
Denver,21,24.3,50.85%,57.63%,2.5,3.1,29:30:00,88.24%
Detroit,27.4,23.8,66.67%,65.63%,2.5,1.9,31:08:00,91.67%
Green Bay,23.8,21.4,53.42%,53.97%,2.6,1.6,29:42:00,80.56%
Houston,22.7,21.1,55.36%,55.74%,2.8,2.5,28:53:00,87.80%
Indianapolis,23.3,24.4,49.12%,55.77%,3,2.4,28:58:00,80.49%
Jacksonville,22.2,21.8,50.00%,55.77%,2.4,2.4,30:37:00,81.08%
Kansas City,22.2,17,51.25%,50.88%,3,1.6,30:33:00,95.65%
LA Chargers,20.4,23.4,57.45%,52.94%,2.8,2.5,28:55:00,93.94%
LA Rams,23.7,22.3,60.34%,56.86%,2.4,2,30:27:00,76.09%
Las Vegas,19.5,19.5,48.94%,62.50%,2.7,2.4,28:34:00,86.67%
Miami,27.9,23.2,65.52%,61.67%,3.1,1.8,29:56:00,85.71%
Minnesota,20.2,21.3,47.06%,54.00%,2.5,2.8,29:08:00,80.00%
New England,13.9,21.5,58.33%,46.15%,2.1,2.8,28:02:00,64.00%
New Orleans,23.6,19.2,53.33%,51.06%,2,2.1,31:10:00,81.08%
NY Giants,15.6,23.9,44.19%,61.02%,2,5,29:26:00,70.97%
NY Jets,15.8,20.9,32.43%,48.98%,2.8,3.8,29:02:00,92.31%
Philadelphia,24.6,25.6,59.68%,65.00%,2.6,2.3,30:24:00,93.94%
Pittsburgh,17.8,19.7,48.89%,47.17%,2.7,2.1,29:28:00,93.75%
San Francisco,28.6,18.8,68.00%,52.54%,2.7,1.9,31:06:00,81.82%
Seattle,21.4,23.6,48.15%,60.71%,2.8,2.2,26:38:00,83.33%
Tampa Bay,21.2,19.2,48.08%,45.00%,2.8,2.5,29:35:00,91.67%
Tennessee,17.9,21.6,47.92%,37.70%,2.6,3.8,28:54:00,96.67%
Washington,19.4,30.5,63.27%,56.67%,2.3,3.8,29:32:00,79.17%
